year_month,monthly_count,monthly_helpful_rate,prev_month_count,rolling_3mo_avg
2013-03,1643,0.3451004260499087,1745.0,1875.3333333333333
2013-04,1567,0.3382259093809828,1643.0,1651.6666666666667
2013-05,1629,0.3474524248004911,1567.0,1613.0
2013-06,1526,0.3768020969855832,1629.0,1574.0
2013-07,1728,0.3402777777777778,1526.0,1627.6666666666667
2013-08,1839,0.3262642740619902,1728.0,1697.6666666666667
2013-09,1704,0.3444835680751174,1839.0,1757.0
2013-10,2040,0.36127450980392156,1704.0,1861.0
2013-11,2049,0.34358223523670084,2040.0,1931.0
2013-12,3252,0.32011070110701106,2049.0,2447.0
2014-01,3739,0.3188018186680931,3252.0,3013.3333333333335
2014-02,2887,0.31901627987530307,3739.0,3292.6666666666665
2014-03,3478,0.309085681426107,2887.0,3368.0
2014-04,3087,0.32782636864269515,3478.0,3150.6666666666665
2014-05,3040,0.3368421052631579,3087.0,3201.6666666666665
2014-06,3304,0.32536319612590797,3040.0,3143.6666666666665
2014-07,5571,0.22563274098007538,3304.0,3971.6666666666665
2014-08,5547,0.2089417703263025,5571.0,4807.333333333333
2014-09,5645,0.20938883968113375,5547.0,5587.666666666667
2014-10,6363,0.22253653936822254,5645.0,5851.666666666667
2014-11,6894,0.22236727589208008,6363.0,6300.666666666667
2014-12,10116,0.21055753262158955,6894.0,7791.0
2015-01,10608,0.20691930618401205,10116.0,9206.0
2015-02,9483,0.20130760307919435,10608.0,10069.0
2015-03,10192,0.19878335949764522,9483.0,10094.333333333334
2015-04,9147,0.21307532524324915,10192.0,9607.333333333334
2015-05,9179,0.21374877437629372,9147.0,9506.0
2015-06,9605,0.215929203539823,9179.0,9310.333333333334
2015-07,10495,0.22086707956169604,9605.0,9759.666666666666
2015-08,11205,0.22748772869254796,10495.0,10435.0
2015-09,10664,0.22721305326331584,11205.0,10788.0
2015-10,12104,0.23603767349636484,10664.0,11324.333333333334
2015-11,12760,0.24561128526645767,12104.0,11842.666666666666
2015-12,12729,0.26427841935737295,12760.0,12531.0
2016-01,19459,0.2490878256847731,12729.0,14982.666666666666
2016-02,18953,0.2562127367699045,19459.0,17047.0
2016-03,20643,0.2595552971951751,18953.0,19685.0
2016-04,18420,0.2668295331161781,20643.0,19338.666666666668
2016-05,22741,0.25975111032936105,18420.0,20601.333333333332
2016-06,23908,0.26760916847917016,22741.0,21689.666666666668
2016-07,25025,0.2642957042957043,23908.0,23891.333333333332
2016-08,26334,0.2504746715273031,25025.0,25089.0
2016-09,24710,0.2424119789558883,26334.0,25356.333333333332
2016-10,25667,0.2536330697003935,24710.0,25570.333333333332
2016-11,24556,0.25504968235869035,25667.0,24977.666666666668
2016-12,38304,0.23417919799498746,24556.0,29509.0
2017-01,37825,0.22463978849966953,38304.0,33561.666666666664
2017-02,27854,0.2330006462267538,37825.0,34661.0
2017-03,33709,0.26405411017829067,27854.0,33129.333333333336
2017-04,30702,0.2781577747378021,33709.0,30755.0
2017-05,30634,0.276229026571783,30702.0,31681.666666666668
2017-06,30218,0.26394863988351314,30634.0,30518.0
2017-07,32177,0.24949498088696895,30218.0,31009.666666666668
2017-08,36420,0.2325370675453048,32177.0,32938.333333333336
2017-09,28939,0.24520543211582985,36420.0,32512.0
2017-10,29960,0.2638851802403204,28939.0,31773.0
2017-11,26346,0.2610263417596599,29960.0,28415.0
2017-12,27042,0.2491679609496339,26346.0,27782.666666666668
2018-01,33932,0.22144288577154309,27042.0,29106.666666666668
2018-02,27356,0.1917312472583711,33932.0,29443.333333333332
2018-03,31019,0.18175956671717333,27356.0,30769.0
2018-04,30918,0.18164176208034155,31019.0,29764.333333333332
2018-05,29852,0.19043950154093528,30918.0,30596.333333333332
2018-06,31269,0.1861268348843903,29852.0,30679.666666666668
2018-07,30339,0.19005240779195096,31269.0,30486.666666666668
2018-08,34178,0.17789221136403535,30339.0,31928.666666666668
2018-09,26873,0.1945074982324266,34178.0,30463.333333333332
2018-10,30675,0.18621026894865525,26873.0,30575.333333333332
2018-11,28627,0.19666748174800014,30675.0,28725.0
2018-12,34789,0.17784357124378394,28627.0,31363.666666666668
2019-01,37563,0.17136543939514948,34789.0,33659.666666666664
2019-02,27611,0.171851798196371,37563.0,33321.0
2019-03,29622,0.17922490041185604,27611.0,31598.666666666668
2019-04,28769,0.18186242135632105,29622.0,28667.333333333332
2019-05,32827,0.17793279922015415,28769.0,30406.0
2019-06,38108,0.1595727931143067,32827.0,33234.666666666664
2019-07,43722,0.1440007318969855,38108.0,38219.0
2019-08,34123,0.1455030331447997,43722.0,38651.0
2019-09,27867,0.15455556751713495,34123.0,35237.333333333336
2019-10,30814,0.16239371714155904,27867.0,30934.666666666668
2019-11,30210,0.1578285335981463,30814.0,29630.333333333332
2019-12,50917,0.12822829310446412,30210.0,37313.666666666664
2020-01,45558,0.1301417972694148,50917.0,42228.333333333336
2020-02,32792,0.1316174676750427,45558.0,43089.0
2020-03,21041,0.13915688417850863,32792.0,33130.333333333336
2020-04,13107,0.15159838254367894,21041.0,22313.333333333332
2020-05,17519,0.1661053713111479,13107.0,17222.333333333332
2020-06,21192,0.18403171007927518,17519.0,17272.666666666668
2020-07,27975,0.1785880250223414,21192.0,22228.666666666668
2020-08,26008,0.1738695785912027,27975.0,25058.333333333332
2020-09,23551,0.17532164239310433,26008.0,25844.666666666668
2020-10,26899,0.1805643332465891,23551.0,25486.0
2020-11,24457,0.18142045222226766,26899.0,24969.0
2020-12,31954,0.1533767290480065,24457.0,27770.0
2021-01,31834,0.15272978576364893,31954.0,29415.0
2021-02,27009,0.1536895109037728,31834.0,30265.666666666668
2021-03,32016,0.14811344327836082,27009.0,30286.333333333332
2021-04,30420,0.15736357659434583,32016.0,29815.0
2021-05,27791,0.15573387067755748,30420.0,30075.666666666668
2021-06,27126,0.15955172159551723,27791.0,28445.666666666668
2021-07,28485,0.1543619448832719,27126.0,27800.666666666668
2021-08,24434,0.1549889498240157,28485.0,26681.666666666668
2021-09,20309,0.1677581367866463,24434.0,24409.333333333332
2021-10,20826,0.18414481897627966,20309.0,21856.333333333332
2021-11,18012,0.17749278258938486,20826.0,19715.666666666668
2021-12,21425,0.16956826137689615,18012.0,20087.666666666668
2022-01,21097,0.15788974735744418,21425.0,20178.0
2022-02,14736,0.16062703583061888,21097.0,19086.0
2022-03,15386,0.1691147796698297,14736.0,17073.0
2022-04,14109,0.1711673399957474,15386.0,14743.666666666666
2022-05,14576,0.18365806805708013,14109.0,14690.333333333334
2022-06,13771,0.17464236438893327,14576.0,14152.0
2022-07,14677,0.16740478299379982,13771.0,14341.333333333334
2022-08,14471,0.17884043949968903,14677.0,14306.333333333334
2022-09,11746,0.18772348033373062,14471.0,13631.333333333334
2022-10,14124,0.20050977060322855,11746.0,13447.0
2022-11,12716,0.17104435357030512,14124.0,12862.0
2022-12,12523,0.15778966701269664,12716.0,13121.0
2023-01,11219,0.1382476156520189,12523.0,12152.666666666666
2023-02,7569,0.12855066719513805,11219.0,10437.0
2023-03,8137,0.10556716234484453,7569.0,8975.0
2023-04,4121,0.09221062848823101,8137.0,6609.0
2023-05,2075,0.11469879518072289,4121.0,4777.666666666667
2023-06,1259,0.09451945988880063,2075.0,2485.0
2023-07,910,0.1087912087912088,1259.0,1414.6666666666667
2023-08,599,0.07345575959933222,910.0,922.6666666666666
2023-09,31,0.06451612903225806,599.0,513.3333333333334
